"","Scenario.Type","Val","SSB_2022","SSB_2022_SD","SSB_2023","SSB_2023_SD","F_2022","F_2023","Rec_2022","Rec_2023","Catch_2022","Catch_2023","pBlim_2022","pBlim_2023"
"1","FMult",0,14191.6,3359.62,15915.5,1746.85,0,0,7316750,7316750,0,0,0.001,0
"2","FMult",1,13615.9,3209.81,13315.4,1214.87,0.892794,0.892794,7316750,7316750,5074.736,4972.751,0.001,0
"3","FMult",1.2,13503.7,3180.86,12928.8,1147.01,1.07135,1.07135,7316750,7316750,5839.104,5613.052,0.001,0
"4","FMult",1.6,13281.9,3123.94,12249.4,1035.29,1.42847,1.42847,7316750,7316750,7183.221,6677.648,0.001,0
"5","FMult",2,13063.9,3068.3,11671.8,948.023,1.78559,1.78559,7316750,7316750,8321.873,7521.988,0.001,0
"6","FMult",9.36,9640.56,2241.08,7244.92,582.009,6.27584,6.27584,7316750,7316750,15269.47,11715.66,0.005,0
"7","FMult",12.3,8541.55,1995.22,6448.57,582.462,6.64216,6.64216,7316750,7316750,15696.45,11929.82,0.009,0
"8","FMult",4.75,11660,2718.23,9157.11,659.287,4.24077,4.24077,7316750,7316750,12997.41,10519.25,0.002,0
"9","FMult",12.75,8384.9,1960.99,6335.51,583.675,6.66565,6.66565,7316750,7316750,15739.37,11949.1,0.01,0
