year,Value_SSB,CV_SSB,Value_Rt,CV_Rt,Value_Ft,CV_Ft,Value_Bt,Value_Catch
1989,20379.6,0.230,8518080,0.234,0.371,0.281,27077.4,5354.25
1990,14772.1,0.259,12628600,0.234,0.575,0.317,23389.5,5819.06
1991,22695.9,0.250,10885800,0.255,0.376,0.297,24179,5717.34
1992,21122.9,0.264,7633090,0.257,0.179,0.295,29043.3,2996.7
1993,17018.3,0.255,8912720,0.250,0.151,0.280,23609.4,1959.95
1994,17130.9,0.246,9731240,0.259,0.240,0.274,20927.1,3035.46
1995,19821.1,0.249,14783600,0.234,0.046,0.305,25220.7,570.614
1996,24909.9,0.220,11281500,0.217,0.127,0.278,31512.1,1831.41
1997,23415.3,0.207,13609000,0.182,0.333,0.261,32008.4,4613.21
1998,21622,0.187,10612600,0.187,0.928,0.304,30440.6,9582.3
1999,18896.9,0.205,10687400,0.222,0.529,0.271,24321.7,5940.55
2000,19761.1,0.220,14871200,0.163,0.199,0.273,23360.6,2353.44
2001,30863.4,0.161,10265100,0.160,0.556,0.244,37918.5,8636.66
2002,19263,0.164,6410240,0.183,0.792,0.250,25506.2,8244.26
2003,12560.7,0.192,8259660,0.177,0.649,0.253,16813.5,4947.81
2004,14971.8,0.195,7480230,0.168,0.657,0.271,19026.7,5581.19
2005,12515.8,0.189,14637700,0.169,0.474,0.228,17098.5,4440.82
2006,25190.2,0.176,16331800,0.166,0.229,0.205,29955,4389.09
2007,30831.7,0.165,8397580,0.181,0.280,0.218,38273.6,5616.24
2008,22032.3,0.166,8844230,0.166,0.266,0.231,27833.7,3219.63
2009,18815,0.160,4567610,0.176,0.258,0.215,22699.3,2954.92
2010,9779.11,0.160,7990040,0.174,0.494,0.218,15034.2,2927.43
2011,12536,0.187,8554570,0.201,0.840,0.276,17835.8,6291.31
2012,15045.4,0.223,7896250,0.163,0.476,0.275,18124.2,4838.21
2013,16142.1,0.172,12793700,0.135,0.553,0.246,19752.6,5231.46
2014,20661.6,0.148,8878960,0.151,0.730,0.231,27288.8,9046.23
2015,14369.5,0.164,13683100,0.143,0.775,0.245,23304.5,6950.09
2016,19393.5,0.157,8011510,0.151,0.581,0.246,28548.9,6741.82
2017,14279.1,0.164,12932600,0.162,0.454,0.213,22752.1,4610.87
2018,22400,0.162,12662800,0.155,0.310,0.217,27024.5,4498.81
2019,23672,0.151,14480300,0.143,0.353,0.232,32278.6,4813.58
2020,26362,0.145,12328900,0.152,0.473,0.227,34052.4,7317.35
2021,25189.9,0.151,8102430,0.153,0.568,0.230,31728.8,7561.6
2022,16668.8,0.156,7485790,0.128,0.811,0.246,22966.2,6615.11
2023,12108.1,0.143,7419410,0.219,1.229,0.258,16788.5,7469.53
